# nom	version_serveur	trame (hex) — produit par gen_golden.py, NE PAS ÉDITER
startApi	163	000000083731003200370000
reqIds	163	00000006380031003100
reqMktData	163	0000003431003131003130303100300045555200434153480000302e30000000494445414c50524f00005553440000003000003000300000
cancelMktData	163	00000009320032003130303100
reqAccountSummary	163	0000002b36320031003930303100416c6c004e65744c69717569646174696f6e2c496e69744d617267696e52657100
cancelAccountSummary	163	0000000a36330031003930303100
reqPositions	163	000000053631003100
cancelPositions	163	000000053634003100
cancelOrder	163	0000000734003100343200
placeOrder.parent	163	000001623300343200300045555200434153480000302e30000000494445414c50524f00005553440000000000425559003230303030004d4b5400000044415900004455313233343536370000300067770030003000300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b333038000000000030003000300000323134373438333634370032313437343833363437003000
placeOrder.takeProfit	163	0000016a3300343300300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030004c4d5400312e3039323500004754430000445531323334353637000030006777003000343200300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b333038000000000030003000300000323134373438333634370032313437343833363437003000
placeOrder.stopLoss	163	0000016b3300343400300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030005354500000312e3037363535004754430000445531323334353637000030006777003100343200300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b333038000000000030003000300000323134373438333634370032313437343833363437003000
placeOrder.exitJPY	163	000001633300343500300055534400434153480000302e30000000494445414c50524f00004a5059000000000053454c4c003135303030004d4b5400000044415900004455313233343536370000300067770031003000300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b333038000000000030003000300000323134373438333634370032313437343833363437003000
startApi	176	000000083731003200370000
reqIds	176	00000006380031003100
reqMktData	176	0000003431003131003130303100300045555200434153480000302e30000000494445414c50524f00005553440000003000003000300000
cancelMktData	176	00000009320032003130303100
reqAccountSummary	176	0000002b36320031003930303100416c6c004e65744c69717569646174696f6e2c496e69744d617267696e52657100
cancelAccountSummary	176	0000000a36330031003930303100
reqPositions	176	000000053631003100
cancelPositions	176	000000053634003100
cancelOrder	176	000000083400310034320000
